draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders
6,221,basic,164.7,109.615,52.019,25.611
6,222,basic,154.824,88.909,101.637,44.226
6,225,basic,85.894,42.938,42.961,18.946
6,226,basic,246.872,150.849,174.957,95.564
6,229,basic,254.96,227.48,191.842,167.599
6,230,basic,118.519,87.243,44.364,28.33
6,233,basic,275.365,174.382,150.359,90.086
6,234,basic,73.076,63.069,40.729,32.358
6,235,basic,80.298,49.523,47.988,26.57
6,236,basic,54.396,48.499,40.182,34.997
6,239,basic,265.556,159.154,194.231,107.165
6,241,basic,384.663,117.971,351.194,104.503
6,242,basic,156.856,111.413,139.983,98.085
6,243,basic,214.432,115.399,173.559,91.401
6,244,basic,38.044,35.205,17.551,15.737
6,245,basic,320.668,282.054,272.242,236.049
6,246,basic,230.855,119.463,110.329,50.056
6,247,basic,374.121,113.848,345.203,102.739
6,248,basic,145.43,96.942,97.082,62.968
6,249,basic,33.22,25.893,5.01,2.862
6,250,basic,84.932,69.981,30.391,23.456
6,251,basic,132.859,59.952,93.243,39.081
6,252,basic,236.068,177.951,212.153,156.321
6,255,basic,87.589,61.907,59.812,40.677
6,257,basic,126.996,116.408,91.024,82.235
6,259,basic,163.746,132.604,103.917,77.551
6,261,basic,171.016,157.795,90.25,81.068
6,262,basic,183.58,150.096,131.144,102.548
6,264,basic,80.293,32.598,51.946,19.993
6,266,basic,104.709,88.12,55.854,43.856
6,267,basic,125.695,112.816,87.288,76.872
6,268,basic,106.781,101.442,80.422,76.4
6,269,basic,105.925,99.757,58.19,54.41
6,270,basic,174.375,128.825,102.432,65.273
6,272,basic,39.411,37.125,13.798,12.792
6,275,basic,93.059,87.99,74.41,70.273
6,276,basic,154.013,71.687,106.161,47.683
6,277,basic,129.847,91.945,63.305,42.768
6,279,basic,112.472,47.795,30.213,11.569
6,281,basic,63.703,46.089,8.181,4.896
6,282,basic,77.361,65.065,22.069,15.511
6,286,basic,180.27,101.558,130.06,58.32
6,287,gifted,190.0,192.912,113.006,114.738
6,288,basic,188.734,164.365,131.02,109.537
6,289,basic,108.764,99.37,62.156,55.12
6,291,basic,362.657,251.872,290.247,182.957
6,292,basic,502.613,296.068,211.181,105.011
6,930,basic,398.963,363.244,398.015,362.343
6,935,basic,434.527,326.873,301.793,202.729
6,939,basic,151.53,64.582,96.788,34.918
6,949,basic,375.758,330.441,235.104,196.83
6,955,basic,43.67,41.486,32.823,31.182
6,971,gifted,515.82,523.726,501.134,508.815
6,972,basic,262.183,207.137,227.573,174.383
6,974,basic,86.234,79.047,66.18,59.996
6,977,basic,235.496,195.007,145.86,112.535
7,103,basic,273.486,236.51,273.486,236.51
7,104,basic,150.945,50.266,150.945,50.266
7,105,basic,482.481,214.879,482.481,214.879
7,105,gifted,145.378,145.65,145.378,145.65
7,106,basic,460.994,271.026,460.994,271.026
7,106,gifted,90.533,90.702,90.533,90.702
7,107,basic,523.818,232.866,523.818,232.866
7,109,basic,149.887,90.935,149.887,90.935
7,110,basic,393.27,193.373,393.27,193.373
